ID,INDUSTRY,Question 1002: My organisation is interested in changing the way we use electricity if it reduces the electricity bill,"Question 1002: By changing the way the people I work with and I use electricity, my organisation can reduce its electricity bill",Question 10012: My organisation has already done a lot to reduce the amount of electricity it uses,Question 10012: My organisation has already made changes to the way we work in order to reduce the amount of electricity we use.,Question 10012: My organisation would like to do more to reduce electricity usage,Question 10012: My organisation knows what it needs to do in order to reduce electricity usage,Question 10012: My organisation cannot control how much electricity it uses,"Question 170: Approximately what percentage of non wage costs does your organisation spend on electricity? ASSUME BUSINESS PROFILE, HOURS OF BUSINESS HAVE NOT CHANGED, EQUIPMENT, OPENING HOURS HAVE NOT CHANGED.",Question 300: Has your organisation had an audit of its energy use in the past 12 months?,Question 301: Is your organisation curently on a nightsaver tariff?,Question 320: Does your organisation have regular monitoring and reporting of trends in its energy use?,"Question 340: Is there a person in your organisation who is responsible for energy usage checking, monitoring and feeding back?","Question 350: Does your organisation engage in generating its own electricity from sources such as solar panels, wind turbines etc?",Question 6012: My business has become more aware of the cost of the electricity it uses,Question 6012: My business has invested in more energy efficient equipment to reduce its use of electricity of usage,Question 6012: My business reviewed its electricity usage in order to identify ways of reducing it,Question 6012: My business identified easy to implement changes which reduced the amount of electricity it used,Question 6012: Managers were given targets to reduce their use of electricity,Question 6012: Participation in the trial had no impact on the business,Question 6020: By what amount do you think that your electricity bills changed as a result of the trial?,Question 6030: Do you think that your overall electricity usage (units or kWh) changed during the trial?,Question 6502: The tariff (the different prices charged for using electricity at different times of day and night) helped the business to reduce its overall usage of electricity,Question 6502: The tariff made the business become more aware about how it used electricity,"Question 9030: When you first received this energy usage statement how effective did you find it in helping your business reduce its electricity usage, using a scale of 1 to 5 where 5 is very effective and 1 is not at all effective or 6 did not read it?",Question 9040: And over the entire trial how effective did you find the energy usage statement in helping your business reduce its electricity usage using a scale of 1 to 5 where 5 is very effective and 1 is not at all effective or 6 did not read it?,Question 20000: Have you installed timing switches on any of your electrical appliances/equipment?,"Question 200007: Is there a person in your organisation who is responsible for energy usage checking, monitoring and feeding back?","Question 200008: Does your organisation engage in generating its own electricity from sources such as solar panels, wind turbines etc?",Question 5432: My organisation is interested in changing the way we use electricity if it reduces the electricity bill,"Question 5432: By changing the way the people I work with and I use electricity, I can reduce my electricity bill",Question 5442: My organisation has already done a lot to reduce the amount of electricity it uses,Question 5442: My organisation has already made changes to the way we work in order to reduce the amount of electricity we use.,Question 5442: My organisation would like to do more to reduce electricity usage,Question 5442: My organisation knows what it needs to do in order to reduce electricity usage,Question 5442: My organisation cannot control how much electricity it uses,Question 5422: Approximately what % savings on the average bill did you achieve?,Question 5512: The overall quality of the electricity supply,Question 5512: The percentage of electricity being generated from renewable sources,Question 5512: The number of estimated bills your organisation receives,Question 5512: The level of wastage of electricity in the home or office,Question 5512: The overall cost of electricity,Question 5512: The environmental damage associated with the amount of electricity used,,
3054,4,1,1,1,1,1,1,1,5,2,2,2,2,2,5,5,5,5,1,3,2,4,1,1,3,3,2,2,2,1,1,1,1,1,1,4, ,1,1,1,1,2,3,,
3063,1,1,1,2,2,2,3,1,5,2,2,2,2,2,5,1,3,3,1,1,3,3,5,5, , ,1,2,2,1,1,1,1,1,3,4, ,1,2,1,4,3,2,,
3088,3,2,2,3,4,2,2,4,2,2,2,2,2,2,5,4,2,4,2,2,2,3,1,1, , ,,,,,,,,,,,,,,,,,,,
3103,3,1,1,1,3,3,1,1,0,2,2,2,2,2, , , , , , , , , , , , ,,,,,5,1,1,2,2,2, ,2,2,3,2,4,2,,
3104,3,1,1,1,5,1,1,1,0,2,2,2,2,2,4,1,1,1,1,5,3,3,4,1, , ,2,2,2,5,1,2,1,1,1,1,999,1,2,1,2,4,2,,
3147,3,1,3,3,1,1,1,4,10,2,1,2,2,1, , , , , , , , , , , , ,2,2,2,1,1,4,4,1,3,4, ,3,3,3,4,5,5,,
3200,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,4,4,1,3,4, ,1,4,4,4,2,4,,
3206,4,1,2,3,3,1,3,5,4,2,2,2,1,2,5,2,4,4,1,1,2,2,4,5,5,5,2,1,2,1,2,1,4,1,1,4, ,1,2,1,5,1,1,,
3208,3,2,2,2,2,2,4,1,99,2,2,2,2,2, , , , , , , , , , , , ,1,2,2,2,1,4,4,4,3,4, ,1,1,1,4,1,4,,
3214,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,,,,,,,,,,,,,,,
3225,4,2,3,4,4,3,4,2,2,2,2,2,2,2,4,2,2,3,1,5,3,3,1,2,2,2,,,,,2,1,1,1,3,1, ,2,4,2,2,4,4,,
3230,4,1,3,2,3,3,3,4,2,2,1,2,2,2,4,2,4,3,1,3,3,3,5,3,3,3,,,,,,,,,,,,,,,,,,,
3263,3,1,1,1,1,1,1,3,5,2,1,2,2,2,5,3,5,5,1,3,2,2,1,1,5,5,2,2,2,1,1,2,3,2,2,1, ,2,4,3,4,3,3,,
3274,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,4,2,2,3,4,4,2,2,3,2,2,2,3,,
3285,4,1,1,1,3,3,5,1,8,2,2,2,2,2, , , , , , , , , , , , ,2,1,2,2,2,1,1,3,1,5,50,3,3,1,3,4,3,,
3360,2,1,1,1,2,1,2,4,0,2,1,2,1,2, , , , , , , , , , , , ,1,1,2,1,1,3,3,2,2,3, ,1,3,3,2,5,2,,
3392,3,1,2,3,3,2,2,3,5,2,1,2,1,2, , , , , , , , , , , , ,1,1,2,1,1,1,1,1,2,4,5,1,3,5,4,5,4,,
3395,3,1,3,2,1,1,1,5,80,2,1,1,1,2,5,1,5,3,1,2,2,3,1,1,5,5,2,2,2,1,1,2,1,1,1,3,15,1,5,3,5,4,4,,
3413,4,2,2,2,4,2,4,4,1,2,2,2,2,2, , , , , , , , , , , , ,2,2,1,1,3,2,1,4,3,4,50,1,2,1,1,2,4,,
3415,4,3,3,1,2,1,1,2,0,2,1,2,2,2, , , , , , , , , , , , ,2,2,2,1,1,2,2,1,2,4,999,1,2,2,3,2,3,,
3422,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,2,2,1,1,5, ,2,4,4,2,2,1,,
3429,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,1,1,1,5,5, ,1,1,1,4,4,4,,
3432,4,1,1,3,2,2,4,4,1,2,2,2,1,2, , , , , , , , , , , , ,2,2,2,1,1,3,1,1,2,3, ,1,2,3,2,5,3,,
3462,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,,,,,,,,,,,,,,,
3476,1,1,2,3,3,1,5,4,10,2,2,2,2,2, , , , , , , , , , , , ,,,,,2,3,3,2,4,3, ,1,3,1,3,4,3,,
3509,3,4,1,2,1,3,1,5,99,2,1,1,2,2,5,5,4,4,1,1,2,2,1,1, , ,,,,,,,,,,,,,,,,,,,
3515,4,1,4,5,5,1,4,2,3,2,2,2,2,2,2,1,1,1,1,4,3,3,5,5,1,1,2,2,2,1,2,4,2,2,2,4, ,1,1,1,3,1,4,,
3532,3,3,3,3,3,2,3,4,0,2,1,2,2,2,4,4,4,2,1,1,2,3,2,2,1,1,2,2,2,2,1,4,2,1,3,3,999,1,4,1,4,5,4,,
3566,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,1,4,1,4,4,999,1,2,4,3,4,4,,
3574,2,2,1,2,4,1,1,4,0,2,1,2,2,2,5,2,3,2,2,1,2,2,1,1,4,4,1,2,2,2,,,,,,,,,,,,,,,
3583,2,3,4,3,5,3,5,4,6,2,2,2,2,2, , , , , , , , , , , , ,,,,,1,5,3,1,3,3, ,4,3,4,4,4,4,,
3619,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,4,4,1,2,4, ,1,2,2,5,2,4,,
3656,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,1,5,5,1,5,5, ,2,4,5,3,4,4,,
3664,1,1,1,2,2,1,2,5,10,2,2,1,1,2,5,3,3,1,1,3,2,2,5,3,5,3,2,1,2,1,1,3,5,1,3,3, ,1,4,3,2,3,3,,
3666,3,2,2,1,4,1,1,4,0,2,2,2,1,2,5,1,1,1,1,3,2,2,5,1,5,4,1,2,2,1,3,4,4,2,3,3, ,1,3,2,3,4,3,,
3672,1,4,3,3,2,4,3,4,5,2,2,2,2,2,4,2,3,2,1,4,4,3,3,4,2,2,1,2,2,1,1,4,5,1,4,3, ,2,5,2,4,4,5,,
3692,2,1,3,1,1,2,3,3,1,1,2,2,2,2, , , , , , , , , , , , ,2,2,2,1,1,4,4,1,3,4, ,1,5,2,4,4,4,,
3746,3,1,1,5,5,1,2,1,10,2,1,2,2,2,1,1,1,1,1,5,3,3,5,5, , ,2,2,2,1,1,4,4,1,5,2, ,5,4,5,5,5,5,,
3755,1,4,5,2,3,2,5,3,5,2,1,2,2,2, , , , , , , , , , , , ,1,2,2,1,,,,,,,,,,,,,,,
3760,4,1,4,1,3,1,1,4,10,1,2,2,2,2,5,2,2,2,2,1,2,2,2,2, , ,,,,,1,2,1,2,2,3,999,3,3,2,2,5,5,,
3776,1,1,1,2,2,2,4,2,99,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,1,1,1,2,1,1,1,2,1,3,1,1,1,3,,
3777,2,2,1,4,3,1,4,3,3,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,1,1,1,1,1,1,4,999,1,1,2,2,4,4,,
3784,3,1,2,1,1,1,1,1,20,2,2,2,2,2,5,3,5,5,5,4,2,2,1,1, , ,2,2,2,1,4,3,2,2,2,5, ,2,1,1,2,1,2,,
3788,1,1,1,2,4,2,4,2,15,2,2,2,2,2, , , , , , , , , , , , ,2,1,2,2,1,2,4,1,4,4,2,2,5,5,5,5,3,,
3789,1,1,1,3,3,2,4,2,99,2,2,2,2,2,1,1,1,1,1,1,3,3,5,5, , ,2,2,2,1,1,1,1,1,3,5,50,1,5,4,1,4,4,,
3826,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,1,3,3,1,4,3, ,2,2,3,2,2,1,,
3845,4,1,3,1,5,1,5,1,1,2,2,2,2,2,3,1,3,3,1,1,3,3,1,5, , ,2,2,2,1,3,3,3,2,4,2, ,3,3,4,2,3,3,,
3852,2,5,5,5,5,5,5,1,99,2,2,2,2,2,1,1,1,1,1,5,3,3,5,5, , ,2,2,2,2,2,2,2,2,2,4, ,1,4,3,3,5,4,,
3882,1,2,2,2,2,2,1,4,99,2,1,2,2,2,5,5,5,5,1,5,2,2,5,5,4,4,2,1,2,2,2,2,2,2,3,2, ,2,4,2,2,4,4,,
3885,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,1,2,2,1,3,4,20,2,4,2,4,4,4,,
3894,4,1,2,3,3,1,3,4,3,1,1,1,1,2,4,3,3,4,1,2,2,2,2,2,4,4,2,2,2,2,1,2,1,1,2,4,15,1,3,5,3,5,4,,
3926,2,1,1,2,1,1,2,5,15,2,2,2,1,2,4,4,4,5,5,1,2,2,3,1,3,4,2,2,2,1,5,3,2,5,4,1, ,1,4,3,2,4,4,,
3928,4,2,3,3,3,1,1,1,3,2,2,2,2,2,3,3,3,3,1,1,3,3,4,1,2,2,2,2,2,4,4,1,1,1,1,5,999,1,4,1,2,1,3,,
3929,2,1,1,2,2,1,1,4,70,2,2,2,1,2,5,5,5,5,2,5,2,2,2,1,5,5,2,1,2,3,1,3,3,1,4,3, ,3,3,3,5,5,5,,
3930,3,1,1,2,2,2,2,3,5,2,2,2,2,2,4,3,3,2,1,3,2,2,3,3,3,3,2,2,2,1,,,,,,,,,,,,,,,
3935,3,1,1,3,3,1,4,3,0,2,2,2,2,2,5,1,1,1,1,3,3,3,4,5, , ,,,,,4,2,2,2,1,4, ,1,2,4,2,2,4,,
3968,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,3,4,4,1,4,4, ,2,4,1,2,3,3,,
3987,4,3,2,4,4,3,4,5,1,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,1,5,1,1,1,1,1,12,1,1,5,5,5,3,,
4015,1,2,2,2,3,2,2,4,3,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,1,4,2,4,2,2,2,999,2,2,2,2,4,4,,
4017,1,1,1,1,1,1,1,4,7,2,2,2,2,2,5,1,2,2,1,2,2,2,2,2,5,5,2,2,2,4,2,3,2,1,4,5,5,1,5,5,5,5,5,,
4042,3,2,2,2,2,2,2,4,5,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,2,1,5,5,3,1,5, ,1,5,3,5,5,5,,
4073,3,1,1,1,1,1,1,1,0,2,2,2,2,2,5,1,1,1,1,3,3,3,1,5, , ,2,2,2,3,1,4,4,2,4,4, ,1,3,3,4,4,4,,
4084,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,4,5,5,1,3,1, ,3,5,1,5,5,5,,
4121,3,1,1,4,4,4,4,1,99,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,1,2,3,3,1,4,5, ,1,5,5,4,4,4,,
4136,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,4,4,4,2,2, ,2,5,5,5,5,5,,
4141,4,2,3,4,4,2,3,2,1,2,2,2,2,2,4,1,3,1,1,1,2,3,1,2,2,2,2,2,2,4,2,3,3,2,4,2, ,2,3,2,2,5,2,,
4169,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,3,2,1,1,1,999,4,3,2,3,4,4,,
4198,4,1,1,1,1,1,1,4,0,2,2,2,2,1, , , , , , , , , , , , ,2,2,2,1,2,3,4,2,2,4, ,2,2,4,2,4,4,,
4205,3,1,3,1,2,3,1,1,2,2,2,2,1,2,5,1,5,4,1,5,3,3,4,1,5,5,2,2,2,2,1,5,2,1,5,3, ,5,3,3,4,4,3,,
4215,1,1,1,1,3,1,1,3,0,2,2,2,2,2,5,1,3,3,1,5,3,3,1,1, , ,1,1,2,1,1,3,3,3,2,2, ,1,1,1,2,2,2,,
4217,1,1,1,4,5,2,4,1,5,2,2,2,2,2,1,1,1,1,1,5,3,3,5,5,6,6,2,2,2,1,1,3,3,2,4,4, ,3,4,3,3,5,5,,
4234,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,3,3,2,3,3, ,3,3,3,4,5,5,,
4261,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,2,1,1,1,2,4,10,1,2,2,1,4,4,,
4267,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,5,5,5,5,1,5, ,2,2,2,2,2,2,,
4274,4,3,3,3,5,3,3,5,2,2,2,2,2,2,5,1,5,4,3,1,2,3,3,1,3,4,2,2,2,3,1,5,5,1,5,1, ,1,5,1,3,5,1,,
4285,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,2,2,1,2,5, ,4,4,2,4,5,5,,
4345,1,1,1,1,1,1,1,4,30,2,1,2,2,2, , , , , , , , , , , , ,2,2,2,1,5,1,3,2,5,1, ,2,5,1,1,5,5,,
4349,3,1,2,1,2,2,3,4,10,2,2,2,2,2, , , , , , , , , , , , ,1,2,2,1,1,2,2,1,2,2, ,1,4,3,2,3,4,,
4391,4,1,1,3,2,1,3,3,10,2,1,2,1,2,5,1,1,1,1,2,2,2,4,2,5,5,2,2,2,1,2,4,4,2,4,4, ,2,4,2,2,2,5,,
4405,4,1,1,4,4,1,4,3,99,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,3,1,4,3,1,3,4, ,1,3,5,4,4,3,,
4408,1,1,1,3,1,1,1,1,4,2,1,2,1,2, , , , , , , , , , , , ,2,2,2,1,1,2,2,1,1,2, ,1,5,5,5,5,5,,
4413,1,1,1,1,1,4,1,5,99,1,1,1,2,2, , , , , , , , , , , , ,2,2,2,1,1,1,2,1,1,2,10,1,3,4,2,4,3,,
4416,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,4,1,1,2,2,2,999,1,4,3,1,2,5,,
4422,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,2,5,2,1,1,4, ,1,1,1,2,2,2,,
4438,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,4,3,2,3,2, ,1,5,4,3,3,3,,
4442,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,1,1,2,1,1, ,1,3,3,3,5,3,,
4461,4,1,3,3,3,3,4,2,2,1,1,1,1,2,5,3,4,4,1,1,2,2,2,2,5,5,2,2,2,1,2,2,2,1,4,4, ,2,3,4,2,5,3,,
4462,1,1,3,3,3,1,5,4,1,2,1,2,2,2,5,1,5,5,1,1,2,2,3,3, , ,1,2,2,1,4,5,5,1,3,1, ,1,4,3,4,4,4,,
4479,4,2,4,4,1,2,2,3,23,2,1,2,2,2,5,3,5,4,5,1,2,2,1,1,5,5,2,2,2,3,5,4,4,1,5,1, ,1,2,4,2,2,4,,
4497,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,1,1,2,4,4,25,1,4,2,3,5,5,,
4501,4,1,1,2,4,1,5,5,5,2,2,2,1,2,5,2,5,5,1,1,2,2,2,1,3,4,2,2,2,1,1,2,3,1,4,1, ,1,2,3,3,5,3,,
4510,3,2,2,2,2,2,2,4,5,2,1,2,2,2,4,1,4,4,2,2,2,2,2,2,4,4,1,2,2,1,3,3,3,3,5,2, ,2,5,5,2,5,5,,
4539,3,1,1,1,1,1,1,4,0,2,1,2,1,2,5,2,5,2,1,5,2,3,5,1, , ,2,2,2,1,1,2,2,1,4,3, ,2,5,3,2,5,5,,
4540,3,1,1,3,1,1,1,4,0,2,2,2,1,2,5,4,3,2,2,1,2,2,1,1,4,4,2,2,2,1,2,4,5,2,2,2, ,1,3,3,4,5,4,,
4552,4,2,2,3,4,2,3,3,10,2,2,2,2,2,3,1,3,2,1,2,3,3,5,4, , ,1,2,2,2,,,,,,,,,,,,,,,
4558,4,1,2,3,1,1,1,5,10,2,2,2,2,2, , , , , , , , , , , , ,,,,,1,3,2,1,2,3, ,1,1,1,1,2,1,,
4559,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,4,4,4,3,5,1, ,1,4,3,5,2,3,,
4574,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,3,2, ,4,3,4,3,2,2,,
4579,4,2,2,1,3,2,2,3,0,2,1,1,1,2,3,2,4,3,2,3,4,3,3,2, , ,2,1,2,1,3,4,4,2,4,4, ,2,3,2,3,4,4,,
4674,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,5,5,5,5,2,1, ,1,4,4,4,5,3,,
4730,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,,,,,,,,,,,,,,,
4735,1,1,1,3,3,2,2,3,3,1,2,1,1,2, , , , , , , , , , , , ,,,,,5,2,1,4,3,2,1,2,2,1,2,4,2,,
4736,3,1,3,2,2,2,1,5,20,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,4,1,1,3,2,1,5,50,1,5,3,3,5,3,,
4742,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,1,2,2,2,3,999,1,2,1,1,3,3,,
4748,4,1,1,1,1,5,1,5,3,2,1,2,2,2, , , , , , , , , , , , ,2,2,2,2,2,3,3,1,2,4, ,2,4,2,4,4,2,,
4796,2,1,1,2,2,2,4,4,10,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,1,3,4,3,1,3,4, ,1,1,3,3,3,1,,
4800,4,3,2,2,2,3,2,3,99,2,2,2,2,2,3,1,1,1,1,5,2,2,5,5,1,1,2,2,2,1,2,1,1,1,5,1,10,1,1,1,5,4,5,,
4803,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,3,2,2,1,1,4, ,2,5,2,1,3,4,,
4806,1,1,1,3,1,2,2,4,15,2,2,2,2,2,4,1,1,3,1,1,2,2,1,2, , ,1,2,2,2,3,3,3,3,3,3, ,1,3,1,4,4,3,,
4824,1,2,2,3,3,2,4,3,5,2,1,2,2,2, , , , , , , , , , , , ,2,2,2,3,1,2,1,1,1,5,15,1,3,2,5,3,3,,
4839,3,1,1,2,2,1,2,5,15,1,1,1,1,2,4,3,4,4,1,1,2,2,4,3,3,3,2,2,2,1,1,2,1,1,5,3, ,1,3,5,1,3,5,,
4850,2,2,5,5,5,5,5,1,25,2,1,2,2,2, , , , , , , , , , , , ,2,2,2,1,2,4,4,1,5,1, ,5,5,3,3,5,5,,
4873,1,2,1,1,1,1,1,1,10,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,1,3,2,2,1,4,3, ,1,3,2,3,4,2,,
4886,3,1,1,1,1,1,1,5,2,2,1,2,2,2,5,1,2,4,1,2,2,2,2,2,4,2,2,1,2,1,,,,,,,,,,,,,,,
4922,4,1,1,3,3,2,3,5,0,2,2,2,2,2, , , , , , , , , , , , ,,,,,2,2,2,2,2,4, ,5,4,5,3,3,3,,
4923,4,1,1,1,1,1,1,4,0,2,2,2,1,2, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,
4934,1,1,1,1,3,1,1,4,5,2,2,2,2,2, , , , , , , , , , , , ,1,2,2,2,2,4,4,2,3,3, ,2,5,3,3,4,4,,
4947,2,1,1,4,1,2,2,2,5,2,2,2,2,2,5,1,1,1,1,4,2,3,2,2,4,4,2,2,2,1,3,3,5,2,5,2, ,1,3,2,2,2,4,,
4976,3,2,4,4,5,4,5,4,8,2,2,2,2,2,1,1,1,1,1,4,3,3,2,5,1,1,2,2,2,3,,,,,,,,,,,,,,,
4981,1,1,3,3,3,4,1,2,0,2,1,2,2,2,1,1,1,1,1,5,3,3,5,3,1,1,,,,,1,2,2,2,2,4, ,1,3,2,4,4,2,,
4985,4,4,2,4,5,5,4,5,2,2,1,2,2,2, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,
4994,1,1,1,1,1,1,1,5,99,2,2,2,1,2,5,1,4,4,1,1,4,4,3,2, , ,1,1,2,1,2,5,3,1,5,3, ,1,4,1,5,2,3,,
4995,3,1,1,2,1,1,1,4,0,2,1,2,2,2, , , , , , , , , , , , ,1,2,2,1,2,1,1,1,1,1, ,1,3,5,2,5,5,,
5009,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,2,1,1,1,2,2,20,1,3,5,5,5,4,,
5023,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,3,2,2,3,4,4, ,1,2,1,2,3,4,,
5026,4,2,3,4,4,4,2,5,99,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,1,3,5,5,4,4,5, ,1,3,5,3,4,3,,
5028,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,,,,,,,,,,,,,,,
5044,2,2,2,1,1,1,2,4,5,2,2,2,2,2,4,2,4,5,2,2,2,2,3,3,5,4,,,,,1,4,4,1,4,4, ,1,4,1,4,4,4,,
5060,4,1,1,1,1,5,1,2,5,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,1,2,2,2,2,2,4,999,1,3,5,2,4,2,,
5068,4,2,3,2,2,2,4,4,10,2,1,1,1,2, , , , , , , , , , , , ,2,2,2,2,1,1,1,1,2,4,10,2,4,4,4,4,4,,
5079,1,1,2,1,1,2,1,5,4,2,1,2,1,2,5,5,5,5,1,1,1,2,2,1,5,5,2,1,2,1,2,4,4,3,3,5, ,2,3,2,2,2,1,,
5091,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,1,3,1,2,2,2, ,2,3,3,4,5,5,,
5103,4,1,1,2,2,2,4,2,3,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,1,4,1,4,5,1,1,5,1,3,3,3,4,4,,
5132,4,1,1,1,3,2,2,2,2,2,2,2,2,2,5,2,4,4,1,2,4,4,4,1,2,2,2,2,2,4,,,,,,,,,,,,,,,
5154,3,1,1,2,4,2,4,2,10,2,1,2,2,2,5,2,2,2,1,2,3,3,4,4, , ,,,,,5,5,5,5,5,1, ,1,1,2,2,5,2,,
5159,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,5,1,2,2,1,2,3,999,1,3,2,4,3,2,,
5188,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,2,2,4,4,5, ,1,3,3,1,3,3,,
5229,2,4,4,4,1,1,1,5,10,2,1,2,1,2, , , , , , , , , , , , ,2,2,2,1,,,,,,,,,,,,,,,
5239,4,1,1,3,5,1,3,3,0,2,2,2,2,2,5,3,4,4,1,3,2,3,1,1, , ,,,,,1,1,1,1,1,1,5,2,3,3,3,5,5,,
5242,3,1,2,1,1,1,2,1,0,2,1,2,2,2, , , , , , , , , , , , ,2,2,2,1,,,,,,,,,,,,,,,
5259,1,1,1,2,2,2,3,3,9,2,2,2,1,2,5,5,5,5,1,5,1,1,1,1,4,4,,,,,1,1,2,1,1,4, ,2,1,4,3,4,3,,
5298,3,1,3,1,5,2,4,2,3,2,2,2,1,2, , , , , , , , , , , , ,2,2,2,2,1,5,5,3,3,4, ,3,5,3,5,3,5,,
5301,3,1,1,3,3,5,2,5,0,2,1,2,2,2,5,5,4,3,2,2,2,2,1,1,5,5,2,2,2,3,2,2,2,1,1,2,999,1,2,2,2,2,2,,
5305,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,,,,,,,,,,,,,,,
5315,1,1,1,5,3,1,1,4,99,2,1,2,2,2,4,2,4,4,1,1,3,3,5,5, , ,,,,,3,3,2,1,1,4, ,3,4,3,2,3,2,,
5361,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,,,,,,,,,,,,,,,
5387,1,1,1,1,2,1,2,2,2,2,2,1,1,2,5,1,4,3,1,4,3,3,4,4,2,2,,,,,1,2,2,1,5,5, ,1,3,2,2,5,5,,
5400,3,1,1,3,1,1,2,2,0,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,1,3,3,3,1,2,5, ,1,5,3,3,3,4,,
5410,4,3,3,3,3,3,1,1,2,2,1,1,1,1,5,3,4,4,1,3,2,3,5,5,3,3,1,1,2,3,2,2,2,4,2,4, ,2,4,2,4,4,4,,
5421,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,
5437,1,1,2,3,3,4,2,4,2,2,2,2,1,2, , , , , , , , , , , , ,,,,,2,2,2,2,2,4, ,2,4,4,5,4,5,,
5442,1,1,3,2,2,2,2,4,5,2,2,2,2,1, , , , , , , , , , , , ,2,2,2,2,3,3,3,2,2,3, ,2,4,4,1,3,3,,
5530,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,1,1,1,1,1,5, ,1,5,5,2,5,5,,
5548,4,1,1,1,1,1,1,4,2,2,2,2,2,2,3,1,1,1,1,5,3,2,5,5, , ,1,2,2,1,,,,,,,,,,,,,,,
5558,3,2,2,1,1,1,1,5,15,2,1,2,2,2,2,2,2,2,2,2,3,3,3,4,1,1,,,,,4,2,1,1,4,5, ,1,5,1,1,4,4,,
5567,4,1,1,3,2,2,1,3,2,2,2,2,2,2,5,1,5,5,3,3,2,2,5,1,5,5,2,2,2,1,2,1,1,2,2,2,30,1,4,2,4,4,3,,
5575,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,,,,,,,,,,,,,,,
5588,3,1,2,1,1,3,2,5,0,2,2,2,1,2,3,3,3,4,1,1,3,2,3,2,3,3,,,,,3,1,4,1,3,4, ,2,1,5,3,5,5,,
5590,1,1,1,1,5,1,1,5,0,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,1,2,2,2,2,4,2,5,2,4,4,4,4,4,,
5609,3,1,4,4,1,1,4,3,0,2,1,2,2,2,5,5,3,4,1,5,5,5,5,1, , ,1,1,2,2,1,2,1,1,1,4,999,1,4,2,2,2,3,,
